image_id,source_file_path,suggested_scene,final_scene,secondary_scenes,quality_tags,source_type,split,width,height,sha1,keep_or_remove,notes
download_real_0001,/Users/shaola/Downloads/015528f324db27a607790c9efd030f.JPG,unknown,unknown,,"low_light,weird_angle",real,train,810,1440,613e61b2773d6e079365511de47b61066b0298f4,keep,open flame close-up; useful unknown/hard case
download_real_0002,/Users/shaola/Downloads/0e0cda49ccaa9ffba996c7d0f14f2f_livephoto.HEIC,unknown,unknown,,"compressed,too_low_quality",real,,1926,1446,e6b00bbe5644e5d36232a4b381b562949861a561,remove,remove: HEIC preview decoded as visual noise
download_real_0003,/Users/shaola/Downloads/157c0446e4abaf20d1306eca02ecf5.JPG,breakfast,breakfast,"food,cafe",normal,real,train,1735,1028,501cf504bc2d32e3170a848c3d18a695b9491132,keep,breakfast/brunch table with plates and soup
download_real_0004,/Users/shaola/Downloads/15f3560bd08135386e3b0780b227ac.JPG,street,street,travel,"low_light,cluttered",real,train,1080,1440,4a3b04bc75b2ffcded0a4b32e0bcf2a33dd6181d,keep,crowded night street or event scene
download_real_0005,/Users/shaola/Downloads/1c396461e4a6a516d7505a834c30a2.JPG,street,street,walking,normal,real,train,1920,1080,8de65371c5e76fd4281c1b2cc830c7d0195c740a,keep,daytime city sidewalk and building
download_real_0006,/Users/shaola/Downloads/2398df371abcdcd88b9d8254988998.JPG,walking,walking,travel,normal,real,train,1080,1391,059f6b1cd97591d4c5401cc24c2f8f4941575648,keep,person walking outdoors under big sky
download_real_0007,/Users/shaola/Downloads/2d3b40cef0f5b85747dbde8dbebb2c_livephoto.HEIC,unknown,unknown,,"compressed,too_low_quality",real,,1440,1080,82fd9ccf21d8af8f74abcf60bda39076b7d5dc72,remove,remove: HEIC preview could not be trusted
download_real_0008,/Users/shaola/Downloads/37a20d25bbcbd469d369490c3bc115_livephoto.HEIC,unknown,unknown,,"compressed,too_low_quality",real,,2568,1926,75b8a093ec09fb85834fcd3cbdb07c58313bebf9,remove,remove: HEIC preview decoded black
download_real_0009,/Users/shaola/Downloads/68ca9e747bf790b6b0694e4e294764_livephoto.HEIC,unknown,unknown,,"compressed,too_low_quality",real,,1080,1440,48c5ad1b7aa883b17389a91d6a96b68cca121148,remove,remove: HEIC preview could not be trusted
download_real_0010,/Users/shaola/Downloads/6bd5182e436dc0bd1dace51a378346.JPG,food,food,,normal,real,train,1920,1080,dfd2d6f57a84cc988847fb365dae334aed84f3e2,keep,meal tray with rice and dishes
download_real_0011,/Users/shaola/Downloads/71049804b242132c0a6c99522d9a86.JPG,breakfast,breakfast,"food,cafe",normal,real,train,1758,1084,ef97fddd42dcb7dcdac1ad31675aedc84440e444,keep,breakfast sandwich and coffee
download_real_0012,/Users/shaola/Downloads/731dd63e9919a9c3c4f99b067396f5.JPG,travel,travel,walking,normal,real,train,1440,969,c075675c5597a37bb5b3c5253e1fdfc442e70611,keep,coastal travel scenery
download_real_0013,/Users/shaola/Downloads/7b7394d15bd7468a192dd64f6449b7.JPG,cafe,cafe,,normal,real,train,1080,1920,b32247d5ae02059b5cb3b2fb63bd236248be0b19,keep,coffee cup close-up in public setting
download_real_0014,/Users/shaola/Downloads/7bbd769bfbb286791c7f8f2d168331.JPG,food,food,,"normal,cluttered",real,train,1920,1080,738aa7fa5b91f3142935484616eb596eb73eebc0,keep,fast food tray and drink
download_real_0015,/Users/shaola/Downloads/81306201a6746c4bed1c2e8b69711e.JPG,street,street,walking,"low_light,backlight",real,validation,1080,1920,7611872ed46064b965b752eaab82ec3e1c20b0c7,keep,rainy night street scene
download_real_0016,/Users/shaola/Downloads/af2d93946ed6114bb836b4c5c16d4c.JPG,unknown,unknown,,"partial_subject,cluttered",real,train,804,1418,ea7cff8e832f21c5e64143b2b7677d2c60cf67d0,keep,farm animals/chickens; outside current pet definition
download_real_0017,/Users/shaola/Downloads/b6714d15956fbb7b541cee1c697d77.JPG,travel,travel,walking,normal,real,train,1440,1080,1b894ed8c904518d9c10a2d2083b65e566d9c01a,keep,beach and coastline scenery
download_real_0018,/Users/shaola/Downloads/ce0c9e0630a2fd75eeba4894ce083b.JPG,food,food,,normal,real,validation,1920,1080,d32dbcc4fc10f8394b42adce2bd181a775b9e136,keep,soup and pan-fried food
download_real_0019,/Users/shaola/Downloads/d0b9f5eb06a3ae96b84758c4fefaf1.JPG,walking,walking,travel,normal,real,test,1920,1080,30b4f203b2c928f6f98ba47f751b8cd2bd852460,keep,waterfront walking view with skyline
download_real_0020,/Users/shaola/Downloads/df989a83c57bc8bce7710242e835c8.JPG,food,food,home,"partial_subject,normal",real,test,1535,1080,762baedcd634e7d7e562d40f624d037a63e5a176,keep,watermelon/fruit in garden
download_real_0021,/Users/shaola/Downloads/f3490598af2ebd3ebf2d7f08a5984e.JPG,pet,pet,,"normal,partial_subject",real,train,1080,1920,733620cc4c0981d3e67ebe1562c7d46448820bbe,keep,cat outdoors
download_real_0022,/Users/shaola/Downloads/f75022903a431ed8eb46b93fc568cc.JPG,unknown,unknown,street,cluttered,real,test,1920,1080,b27ad1078397f25cf5bca8d7b76b3c3768f5d92a,keep,retail/event crowd; no exact product scene
download_real_0023,/Users/shaola/Downloads/fcd04c682174023d0d28085b0d9ca0.JPG,pet,pet,,normal,real,validation,1272,1074,a617a301d07bf53a5913074ca61f128e671d4947,keep,cat close-up
