image_id,file_path,primary_scene,secondary_scenes,quality_tags,source_type,split,is_hard_case,created_at,notes
download_real_0001,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/unknown/download_real_0001.jpg,unknown,,"low_light,weird_angle",real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0003,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/breakfast/download_real_0003.jpg,breakfast,"food,cafe",normal,real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0004,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/street/download_real_0004.jpg,street,travel,"low_light,cluttered",real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0005,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/street/download_real_0005.jpg,street,walking,normal,real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0006,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/walking/download_real_0006.jpg,walking,travel,normal,real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0010,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/food/download_real_0010.jpg,food,,normal,real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0011,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/breakfast/download_real_0011.jpg,breakfast,"food,cafe",normal,real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0012,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/travel/download_real_0012.jpg,travel,walking,normal,real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0013,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/cafe/download_real_0013.jpg,cafe,,normal,real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0014,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/food/download_real_0014.jpg,food,,"normal,cluttered",real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0015,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/validation/street/download_real_0015.jpg,street,walking,"low_light,backlight",real,validation,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0016,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/unknown/download_real_0016.jpg,unknown,,"partial_subject,cluttered",real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0017,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/travel/download_real_0017.jpg,travel,walking,normal,real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0018,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/validation/food/download_real_0018.jpg,food,,normal,real,validation,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0019,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/test/walking/download_real_0019.jpg,walking,travel,normal,real,test,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0020,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/test/food/download_real_0020.jpg,food,home,"partial_subject,normal",real,test,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0021,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/train/pet/download_real_0021.jpg,pet,,"normal,partial_subject",real,train,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0022,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/test/unknown/download_real_0022.jpg,unknown,street,cluttered,real,test,false,,Kansai travel owned real photo; resized training copy with metadata stripped
download_real_0023,/Volumes/AI作品素材/SnapCopy_ML_Dataset/real_imports/download_batch_20260521/validation/pet/download_real_0023.jpg,pet,,normal,real,validation,false,,Kansai travel owned real photo; resized training copy with metadata stripped
